0,1,2,3,4
233,77,0,0,226
134,10,0,0,267
154,5,0,55,1
17,20,0,0,178
90,46,113,0,237
0,98,0,0,251
328,3,0,0,235
152,85,1,0,171
310,11,0,0,165
223,20,0,0,200
275,25,0,0,60
0,28,0,0,140
208,51,0,0,98
344,14,0,0,113
103,10,0,0,169
134,44,0,0,169
30,21,0,0,81
120,23,0,0,88
149,32,0,0,78
109,17,0,0,220
148,39,0,0,44
61,26,29,0,162
120,57,0,0,264
35,15,0,0,112
106,12,0,0,122
135,88,0,0,137
76,13,0,0,292
136,1,0,0,168
253,59,0,0,228
0,25,0,0,58
96,101,0,0,190
116,56,0,0,62
135,70,0,0,221
184,21,0,0,123
214,9,0,0,135
229,85,0,0,100
182,140,0,0,130
36,69,0,0,243
168,75,0,0,244
87,59,0,0,209
198,4,0,0,166
159,42,0,0,206
133,9,0,0,87
190,100,0,0,260
175,3,0,0,189
222,40,0,0,280
129,10,0,0,169
57,25,50,39,168
212,21,0,0,87
229,28,0,0,265
193,21,0,0,199
129,11,0,0,138
239,65,0,0,155
34,56,0,0,179
10,28,0,0,194
75,19,0,0,147
173,25,0,0,102
143,13,0,0,270
187,28,0,0,190
281,10,0,0,190
158,3,0,0,257
92,43,0,0,231
119,31,0,0,265
123,47,86,0,54
38,7,0,0,208
213,10,0,0,160
14,24,0,0,167
24,15,0,0,231
65,35,0,0,206
251,19,0,0,206
77,50,88,0,244
55,20,0,62,283
0,34,0,0,171
116,5,0,0,150
270,161,0,0,245
194,14,0,0,189
40,9,0,0,163
78,38,0,0,152
88,30,0,0,175
358,28,0,109,88
86,46,12,0,206
46,133,0,0,247
0,35,0,0,136
127,2,0,0,237
22,66,10,0,23
224,17,0,0,215
14,15,0,0,242
129,11,0,0,88
49,41,42,0,192
165,22,14,0,122
79,20,0,0,253
112,32,0,0,109
292,15,0,0,197
161,8,0,79,306
139,19,0,0,181
256,11,0,0,135
210,4,0,0,259
176,36,0,0,160
328,27,67,0,99
300,7,0,0,171
53,18,0,0,244
161,25,0,6,115
38,11,0,0,67
82,18,0,43,185
246,136,0,0,18
0,21,0,0,19
68,90,7,0,105
138,11,0,0,163
137,9,33,0,109
15,28,0,0,109
0,21,0,0,258
196,13,0,40,195
24,25,0,0,214
257,79,0,0,153
251,20,0,0,174
362,20,0,0,197
132,69,0,0,198
176,10,0,0,140
136,36,0,0,300
110,48,0,0,233
90,18,1,0,163
32,78,0,0,146
85,22,4,0,123
0,25,0,0,234
216,18,0,0,234
290,109,0,0,113
220,14,0,0,129
147,22,0,0,181
189,25,0,0,197
114,46,0,0,169
248,37,0,0,205
129,49,0,0,305
295,16,0,0,93
0,166,0,0,247
195,75,0,0,204
80,6,0,0,243
52,11,0,0,140
266,8,0,0,101
36,19,0,0,276
89,12,0,0,173
73,68,0,0,265
342,8,0,0,230
215,10,0,0,115
0,37,0,0,274
205,159,0,0,161
83,26,0,0,202
180,27,38,45,172
232,26,0,0,165
279,17,0,0,146
0,17,0,0,346
123,38,0,0,55
142,1,0,0,200
18,9,0,0,263
189,16,0,0,171
215,10,0,0,263
107,59,0,108,314
216,18,0,0,146
150,24,0,0,161
256,25,22,0,154
101,66,0,0,104
10,47,17,0,44
103,32,0,0,254
200,27,0,0,329
290,62,0,0,311
0,9,0,0,242
216,21,0,0,208
119,2,0,0,148
101,27,0,0,198
110,40,5,0,128
173,32,0,0,134
157,15,0,0,151
172,71,0,103,194
178,134,0,0,101
113,30,0,0,123
0,99,0,0,130
56,50,0,0,230
113,25,0,0,214
206,4,115,0,270
77,13,0,11,163
48,22,0,0,186
258,26,0,0,160
164,45,0,0,107
0,15,0,0,200
164,9,0,0,228
328,25,0,0,208
130,20,0,0,80
199,9,0,36,259
13,5,0,0,231
247,1,0,0,193
149,38,0,0,201
203,14,0,0,233
147,17,0,0,211
95,63,0,0,193
235,10,0,0,243
55,10,0,0,90
78,67,0,0,169
191,67,0,0,182
279,27,20,0,142
177,5,0,0,146
127,8,31,0,159
126,8,0,0,97
135,4,0,0,299
93,22,0,0,103
139,59,0,0,230
306,20,0,0,226
0,5,0,0,229
127,5,0,0,240
118,33,0,0,98
180,50,0,0,174
138,41,0,0,131
218,55,0,0,82
236,28,0,0,209
162,12,0,0,262
279,11,0,0,268
0,114,0,0,36
189,84,0,0,52
242,34,43,0,164
88,12,0,0,175
20,35,0,0,161
249,11,0,0,151
124,13,0,0,140
253,18,0,0,48
210,63,0,0,266
19,18,0,0,126
153,5,0,0,353
285,42,0,0,221
6,9,26,0,249
90,15,0,0,138
0,60,0,0,158
138,21,0,0,134
295,84,46,0,264
102,35,0,0,172
4,13,0,0,183
105,6,0,0,238
265,15,0,0,107
178,62,0,0,209
176,20,0,0,246
220,10,0,0,208
282,27,0,0,235
164,28,0,0,117
93,13,0,0,90
73,19,0,0,273
352,163,0,0,188
282,75,0,0,230
94,65,0,0,156
171,68,0,15,135
114,7,0,0,50
241,65,0,0,163
169,70,0,0,151
226,10,0,0,132
